"Git: moving to a new branch","git checkout <branch name>","",""
"Stack: running GHCI with a specific extension of the compiler","stack ghci --ghci-options <name of extension>","",""
"Git: making new branch","git branch <branch name>","",""
"Haskell: setting the prompt name" , ":set prompt <some name>" ,"",""
"Git: initializing git repository","git init","",""
"Haskell: list of types/functions available in some module" , ":browse <module name>" ,"",""
"Bash: the manual of some command","man <command status>","",""
"Git: plotting the graph of branching history","git log --graph","",""
"Bash: creating a file by cmd","touch <file name>","",""
"Git: pushing while setting the default remote for some branch","git push -u <remote name> <branch name>","",""
"Bash: showing working directory path to root","pwd","",""
"Git: pushing in git to specific remote repository ","git push <repository name> <branch name>","",""
"Bash: listing all files including hidden files","ls -a","",""
"Git: pushing in git","git push","",""
"Bash: deleting file in cmd","rm <file name>","",""
"Git: the path for git configuration",".git/config","",""
"Bash: installing applications in cmd","sudo apt-get install <app name>","",""
